"","INSPECTION_YEAR","ORIGIN","COMMODITY_DISPLAY_NAME","COMMODITY_TAXONOMIC_DISPLAY_NAME","total_pests"
"1",2020,"Colombia","Allium schoenoprasum - CHIVE","Allium schoenoprasum",28
"2",2020,"Colombia","Alstroemeria sp. - Alstroemeria","Alstroemeria sp.",250
"3",2020,"Colombia","Anemone sp. - Anemone","Anemone sp.",1
"4",2020,"Colombia","Anethum graveolens - DILL","Anethum graveolens",20
"5",2020,"Colombia","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",2
"6",2020,"Colombia","Artemisia dracunculus (Asteraceae) - TARRAGON","Artemisia dracunculus (Asteraceae)",7
"7",2020,"Colombia","Aster sp.  - Aster","Aster sp. ",8
"8",2020,"Colombia","Astilbe sp. - Astilbe","Astilbe sp.",1
"9",2020,"Colombia","Brassica sp.  - Brassica","Brassica sp. ",4
"10",2020,"Colombia","Calendula officinalis (Asteraceae) - Calendula officinalis ","Calendula officinalis (Asteraceae)",1
"11",2020,"Colombia","Callistephus sp.  - Callistephus","Callistephus sp. ",10
"12",2020,"Colombia","Chrysanthemum sp.  - Chrysanthemum","Chrysanthemum sp. ",95
"13",2020,"Colombia","Coriandrum sativum (Apiaceae) - Coriandrum sativum ","Coriandrum sativum (Apiaceae)",2
"14",2020,"Colombia","Delphinium sp. - Delphinium","Delphinium sp.",1
"15",2020,"Colombia","Dianthus sp. - Dianthus","Dianthus sp.",69
"16",2020,"Colombia","Eryngium foetidum - FALSE CORIANDER","Eryngium foetidum",1
"17",2020,"Colombia","Eryngium sp. - Eryngium","Eryngium sp.",5
"18",2020,"Colombia","Gerbera sp.  - Gerbera","Gerbera sp. ",3
"19",2020,"Colombia","Gypsophila sp. - Gypsophila","Gypsophila sp.",2
"20",2020,"Colombia","Helianthus sp. - Helianthus","Helianthus sp.",22
"21",2020,"Colombia","Hydrangea sp. - Hydrangea","Hydrangea sp.",9
"22",2020,"Colombia","Lactuca sativa - LETTUCE","Lactuca sativa",2
"23",2020,"Colombia","Leucospermum sp. - Leucospermum","Leucospermum sp.",1
"24",2020,"Colombia","Lilium sp. - Lilium","Lilium sp.",3
"25",2020,"Colombia","Limonium sp. - Limonium","Limonium sp.",7
"26",2020,"Colombia","Mentha sp. - MINT","Mentha sp.",78
"27",2020,"Colombia","Moluccella sp. - Moluccella","Moluccella sp.",4
"28",2020,"Colombia","Ocimum basilicum (Lamiaceae) - Ocimum basilicum ","Ocimum basilicum (Lamiaceae)",7
"29",2020,"Colombia","Origanum majorana - MARJORAM","Origanum majorana",9
"30",2020,"Colombia","Origanum vulgare - OREGANO (EUROPEAN)","Origanum vulgare",44
"31",2020,"Colombia","Ornithogalum sp. - Ornithogalum","Ornithogalum sp.",2
"32",2020,"Colombia","Petroselinum crispum - PARSLEY","Petroselinum crispum",1
"33",2020,"Colombia","Ranunculus sp. - Ranunculus","Ranunculus sp.",26
"34",2020,"Colombia","Rosa sp. - Rosa","Rosa sp.",3
"35",2020,"Colombia","Rosmarinus officinalis - ROSEMARY","Rosmarinus officinalis",1
"36",2020,"Colombia","Ruscus sp. - Ruscus","Ruscus sp.",1
"37",2020,"Colombia","Solidago sp. - Solidago","Solidago sp.",16
"38",2020,"Colombia","Thymus vulgaris - THYME","Thymus vulgaris",14
"39",2020,"Dominican Republic",NA,NA,2
"40",2020,"Ecuador","Achillea sp.  - Achillea","Achillea sp. ",1
"41",2020,"Ecuador","Alstroemeria sp. - Alstroemeria","Alstroemeria sp.",18
"42",2020,"Ecuador","Amaranthus sp.  - Amaranthus","Amaranthus sp. ",11
"43",2020,"Ecuador","Ammi sp. - Ammi","Ammi sp.",1
"44",2020,"Ecuador","Anemone sp. - Anemone","Anemone sp.",4
"45",2020,"Ecuador","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",5
"46",2020,"Ecuador","Brassica sp.  - Brassica","Brassica sp. ",1
"47",2020,"Ecuador","Chrysanthemum sp.  - Chrysanthemum","Chrysanthemum sp. ",2
"48",2020,"Ecuador","Dianthus sp. - Dianthus","Dianthus sp.",2
"49",2020,"Ecuador","Gerbera sp.  - Gerbera","Gerbera sp. ",2
"50",2020,"Ecuador","Gomphrena sp. - Gomphrena","Gomphrena sp.",1
"51",2020,"Ecuador","Helianthus sp. - Helianthus","Helianthus sp.",10
"52",2020,"Ecuador","Helichrysum sp.  - Helichrysum","Helichrysum sp. ",3
"53",2020,"Ecuador","Hydrangea sp. - Hydrangea","Hydrangea sp.",1
"54",2020,"Ecuador","Hypericum sp. - Hypericum","Hypericum sp.",5
"55",2020,"Ecuador","Lilium sp. - Lilium","Lilium sp.",1
"56",2020,"Ecuador","Limonium sp. - Limonium","Limonium sp.",2
"57",2020,"Ecuador","Matthiola sp. - Matthiola","Matthiola sp.",18
"58",2020,"Ecuador","Moluccella sp. - Moluccella","Moluccella sp.",8
"59",2020,"Ecuador","Protea sp. - Protea","Protea sp.",1
"60",2020,"Ecuador","Ranunculus sp. - Ranunculus","Ranunculus sp.",4
"61",2020,"Ecuador","Ruscus sp. - Ruscus","Ruscus sp.",1
"62",2020,"Ecuador","Scabiosa sp. - Scabiosa","Scabiosa sp.",1
"63",2020,"Ecuador","Trachelium sp. - Trachelium","Trachelium sp.",3
"64",2020,"Guatemala","Musa sp. - Plantain","Musa sp.",1
"65",2020,"Guatemala","Pisum sativum (Fabaceae) - PEA","Pisum sativum (Fabaceae)",1
"66",2020,"Guatemala","Pisum sativum var. macrocarpon  - Pisum sativum macrocarpon","Pisum sativum var. macrocarpon ",1
"67",2020,"Mexico","Alstroemeria sp. - Alstroemeria","Alstroemeria sp.",6
"68",2020,"Mexico","Anthurium sp. - Anthurium","Anthurium sp.",1
"69",2020,"Mexico","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",4
"70",2020,"Mexico","Apium graveolens var. dulce - CELERY","Apium graveolens var. dulce",20
"71",2020,"Mexico","Brassica oleracea var. capitata  - CABBAGE","Brassica oleracea var. capitata ",5
"72",2020,"Mexico","Brassica oleracea var. italica  - Brassica oleracea italica","Brassica oleracea var. italica ",100
"73",2020,"Mexico","Brassica oleracea var. viridis  - KALE","Brassica oleracea var. viridis ",2
"74",2020,"Mexico","Brassica rapa subsp. pekinensis (Brassicaceae) - CHINESE CABBAGE","Brassica rapa subsp. pekinensis (Brassicaceae)",4
"75",2020,"Mexico","Chenopodium berlandieri subsp. nuttalliae (Amaranthaceae) - Huazontle","Chenopodium berlandieri subsp. nuttalliae (Amaranthaceae)",1
"76",2020,"Mexico","Coriandrum sativum (Apiaceae) - Coriandrum sativum ","Coriandrum sativum (Apiaceae)",6
"77",2020,"Mexico","Helianthus sp. - Helianthus","Helianthus sp.",1
"78",2020,"Mexico","Lilium sp. - Lilium","Lilium sp.",2
"79",2020,"Mexico","Mentha sp. - MINT","Mentha sp.",1
