"","INSPECTION_YEAR","ORIGIN","PEST_TAXONOMY_GENUS","PEST_TAXONOMY_SPECIES","PEST_TAXON_SIMPLE_NAME","COMMODITY_DISPLAY_NAME","COMMODITY_TAXONOMIC_DISPLAY_NAME","total_pests"
"1",2020,"Colombia","Copitarsia","corruda","corruda","Anemone sp. - Anemone","Anemone sp.",1
"2",2020,"Colombia","Copitarsia","decolora","decolora","Allium schoenoprasum - CHIVE","Allium schoenoprasum",1
"3",2020,"Colombia","Copitarsia","decolora","decolora","Alstroemeria sp. - Alstroemeria","Alstroemeria sp.",3
"4",2020,"Colombia","Copitarsia","decolora","decolora","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",1
"5",2020,"Colombia","Copitarsia","decolora","decolora","Chrysanthemum sp.  - Chrysanthemum","Chrysanthemum sp. ",1
"6",2020,"Colombia","Copitarsia","decolora","decolora","Mentha sp. - MINT","Mentha sp.",1
"7",2020,"Colombia","Copitarsia","decolora","decolora","Origanum vulgare - OREGANO (EUROPEAN)","Origanum vulgare",1
"8",2020,"Colombia","Copitarsia","decolora","decolora","Rosmarinus officinalis - ROSEMARY","Rosmarinus officinalis",1
"9",2020,"Colombia","Copitarsia","decolora","decolora","Thymus vulgaris - THYME","Thymus vulgaris",2
"10",2020,"Colombia","Copitarsia",NA,"Copitarsia","Allium schoenoprasum - CHIVE","Allium schoenoprasum",27
"11",2020,"Colombia","Copitarsia",NA,"Copitarsia","Alstroemeria sp. - Alstroemeria","Alstroemeria sp.",247
"12",2020,"Colombia","Copitarsia",NA,"Copitarsia","Anethum graveolens - DILL","Anethum graveolens",20
"13",2020,"Colombia","Copitarsia",NA,"Copitarsia","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",1
"14",2020,"Colombia","Copitarsia",NA,"Copitarsia","Artemisia dracunculus (Asteraceae) - TARRAGON","Artemisia dracunculus (Asteraceae)",7
"15",2020,"Colombia","Copitarsia",NA,"Copitarsia","Aster sp.  - Aster","Aster sp. ",8
"16",2020,"Colombia","Copitarsia",NA,"Copitarsia","Astilbe sp. - Astilbe","Astilbe sp.",1
"17",2020,"Colombia","Copitarsia",NA,"Copitarsia","Brassica sp.  - Brassica","Brassica sp. ",4
"18",2020,"Colombia","Copitarsia",NA,"Copitarsia","Calendula officinalis (Asteraceae) - Calendula officinalis ","Calendula officinalis (Asteraceae)",1
"19",2020,"Colombia","Copitarsia",NA,"Copitarsia","Callistephus sp.  - Callistephus","Callistephus sp. ",10
"20",2020,"Colombia","Copitarsia",NA,"Copitarsia","Chrysanthemum sp.  - Chrysanthemum","Chrysanthemum sp. ",94
"21",2020,"Colombia","Copitarsia",NA,"Copitarsia","Coriandrum sativum (Apiaceae) - Coriandrum sativum ","Coriandrum sativum (Apiaceae)",2
"22",2020,"Colombia","Copitarsia",NA,"Copitarsia","Delphinium sp. - Delphinium","Delphinium sp.",1
"23",2020,"Colombia","Copitarsia",NA,"Copitarsia","Dianthus sp. - Dianthus","Dianthus sp.",69
"24",2020,"Colombia","Copitarsia",NA,"Copitarsia","Eryngium foetidum - FALSE CORIANDER","Eryngium foetidum",1
"25",2020,"Colombia","Copitarsia",NA,"Copitarsia","Eryngium sp. - Eryngium","Eryngium sp.",5
"26",2020,"Colombia","Copitarsia",NA,"Copitarsia","Gerbera sp.  - Gerbera","Gerbera sp. ",3
"27",2020,"Colombia","Copitarsia",NA,"Copitarsia","Gypsophila sp. - Gypsophila","Gypsophila sp.",2
"28",2020,"Colombia","Copitarsia",NA,"Copitarsia","Helianthus sp. - Helianthus","Helianthus sp.",22
"29",2020,"Colombia","Copitarsia",NA,"Copitarsia","Hydrangea sp. - Hydrangea","Hydrangea sp.",9
"30",2020,"Colombia","Copitarsia",NA,"Copitarsia","Lactuca sativa - LETTUCE","Lactuca sativa",2
"31",2020,"Colombia","Copitarsia",NA,"Copitarsia","Leucospermum sp. - Leucospermum","Leucospermum sp.",1
"32",2020,"Colombia","Copitarsia",NA,"Copitarsia","Lilium sp. - Lilium","Lilium sp.",3
"33",2020,"Colombia","Copitarsia",NA,"Copitarsia","Limonium sp. - Limonium","Limonium sp.",7
"34",2020,"Colombia","Copitarsia",NA,"Copitarsia","Mentha sp. - MINT","Mentha sp.",77
"35",2020,"Colombia","Copitarsia",NA,"Copitarsia","Moluccella sp. - Moluccella","Moluccella sp.",4
"36",2020,"Colombia","Copitarsia",NA,"Copitarsia","Ocimum basilicum (Lamiaceae) - Ocimum basilicum ","Ocimum basilicum (Lamiaceae)",7
"37",2020,"Colombia","Copitarsia",NA,"Copitarsia","Origanum majorana - MARJORAM","Origanum majorana",9
"38",2020,"Colombia","Copitarsia",NA,"Copitarsia","Origanum vulgare - OREGANO (EUROPEAN)","Origanum vulgare",43
"39",2020,"Colombia","Copitarsia",NA,"Copitarsia","Ornithogalum sp. - Ornithogalum","Ornithogalum sp.",2
"40",2020,"Colombia","Copitarsia",NA,"Copitarsia","Petroselinum crispum - PARSLEY","Petroselinum crispum",1
"41",2020,"Colombia","Copitarsia",NA,"Copitarsia","Ranunculus sp. - Ranunculus","Ranunculus sp.",26
"42",2020,"Colombia","Copitarsia",NA,"Copitarsia","Rosa sp. - Rosa","Rosa sp.",3
"43",2020,"Colombia","Copitarsia",NA,"Copitarsia","Ruscus sp. - Ruscus","Ruscus sp.",1
"44",2020,"Colombia","Copitarsia",NA,"Copitarsia","Solidago sp. - Solidago","Solidago sp.",16
"45",2020,"Colombia","Copitarsia",NA,"Copitarsia","Thymus vulgaris - THYME","Thymus vulgaris",12
"46",2020,"Dominican Republic","Copitarsia",NA,"Copitarsia",NA,NA,2
"47",2020,"Ecuador","Copitarsia","decolora","decolora","Helianthus sp. - Helianthus","Helianthus sp.",1
"48",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Achillea sp.  - Achillea","Achillea sp. ",1
"49",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Alstroemeria sp. - Alstroemeria","Alstroemeria sp.",18
"50",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Amaranthus sp.  - Amaranthus","Amaranthus sp. ",11
"51",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Ammi sp. - Ammi","Ammi sp.",1
"52",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Anemone sp. - Anemone","Anemone sp.",4
"53",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",5
"54",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Brassica sp.  - Brassica","Brassica sp. ",1
"55",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Chrysanthemum sp.  - Chrysanthemum","Chrysanthemum sp. ",2
"56",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Dianthus sp. - Dianthus","Dianthus sp.",2
"57",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Gerbera sp.  - Gerbera","Gerbera sp. ",2
"58",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Gomphrena sp. - Gomphrena","Gomphrena sp.",1
"59",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Helianthus sp. - Helianthus","Helianthus sp.",9
"60",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Helichrysum sp.  - Helichrysum","Helichrysum sp. ",3
"61",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Hydrangea sp. - Hydrangea","Hydrangea sp.",1
"62",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Hypericum sp. - Hypericum","Hypericum sp.",5
"63",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Lilium sp. - Lilium","Lilium sp.",1
"64",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Limonium sp. - Limonium","Limonium sp.",2
"65",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Matthiola sp. - Matthiola","Matthiola sp.",18
"66",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Moluccella sp. - Moluccella","Moluccella sp.",8
"67",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Protea sp. - Protea","Protea sp.",1
"68",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Ranunculus sp. - Ranunculus","Ranunculus sp.",4
"69",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Ruscus sp. - Ruscus","Ruscus sp.",1
"70",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Scabiosa sp. - Scabiosa","Scabiosa sp.",1
"71",2020,"Ecuador","Copitarsia",NA,"Copitarsia","Trachelium sp. - Trachelium","Trachelium sp.",3
"72",2020,"Guatemala","Copitarsia",NA,"Copitarsia","Musa sp. - Plantain","Musa sp.",1
"73",2020,"Guatemala","Copitarsia",NA,"Copitarsia","Pisum sativum (Fabaceae) - PEA","Pisum sativum (Fabaceae)",1
"74",2020,"Guatemala","Copitarsia",NA,"Copitarsia","Pisum sativum var. macrocarpon  - Pisum sativum macrocarpon","Pisum sativum var. macrocarpon ",1
"75",2020,"Mexico","Copitarsia","decolora","decolora","Alstroemeria sp. - Alstroemeria","Alstroemeria sp.",1
"76",2020,"Mexico","Copitarsia","decolora","decolora","Apium graveolens var. dulce - CELERY","Apium graveolens var. dulce",2
"77",2020,"Mexico","Copitarsia","decolora","decolora","Brassica oleracea var. italica  - Brassica oleracea italica","Brassica oleracea var. italica ",2
"78",2020,"Mexico","Copitarsia","decolora","decolora","Chenopodium berlandieri subsp. nuttalliae (Amaranthaceae) - Huazontle","Chenopodium berlandieri subsp. nuttalliae (Amaranthaceae)",1
"79",2020,"Mexico","Copitarsia","decolora","decolora","Coriandrum sativum (Apiaceae) - Coriandrum sativum ","Coriandrum sativum (Apiaceae)",1
"80",2020,"Mexico","Copitarsia","decolora","decolora","Ocimum basilicum (Lamiaceae) - Ocimum basilicum ","Ocimum basilicum (Lamiaceae)",2
"81",2020,"Mexico","Copitarsia","decolora","decolora","Pisum sativum var. macrocarpon  - Pisum sativum macrocarpon","Pisum sativum var. macrocarpon ",1
"82",2020,"Mexico","Copitarsia","decolora","decolora",NA,NA,1
"83",2020,"Mexico","Copitarsia",NA,"Copitarsia","Alstroemeria sp. - Alstroemeria","Alstroemeria sp.",5
"84",2020,"Mexico","Copitarsia",NA,"Copitarsia","Anthurium sp. - Anthurium","Anthurium sp.",1
"85",2020,"Mexico","Copitarsia",NA,"Copitarsia","Antirrhinum sp. - Antirrhinum","Antirrhinum sp.",4
"86",2020,"Mexico","Copitarsia",NA,"Copitarsia","Apium graveolens var. dulce - CELERY","Apium graveolens var. dulce",18
"87",2020,"Mexico","Copitarsia",NA,"Copitarsia","Brassica oleracea var. capitata  - CABBAGE","Brassica oleracea var. capitata ",5
"88",2020,"Mexico","Copitarsia",NA,"Copitarsia","Brassica oleracea var. italica  - Brassica oleracea italica","Brassica oleracea var. italica ",98
"89",2020,"Mexico","Copitarsia",NA,"Copitarsia","Brassica oleracea var. viridis  - KALE","Brassica oleracea var. viridis ",2
"90",2020,"Mexico","Copitarsia",NA,"Copitarsia","Brassica rapa subsp. pekinensis (Brassicaceae) - CHINESE CABBAGE","Brassica rapa subsp. pekinensis (Brassicaceae)",4
"91",2020,"Mexico","Copitarsia",NA,"Copitarsia","Coriandrum sativum (Apiaceae) - Coriandrum sativum ","Coriandrum sativum (Apiaceae)",5
"92",2020,"Mexico","Copitarsia",NA,"Copitarsia","Helianthus sp. - Helianthus","Helianthus sp.",1
