"","INSPECTION_DATE","COMMODITY_DISPLAY_NAME","COMMODITY_TAXONOMIC_DISPLAY_NAME","INSPECTION_PATHWAY","ORIGIN","SUBCATEGORY","INSPECTION_LOCATION_STATE_CODE","DETERMINATION_TYPE","PEST_TAXONOMIC_NAME","QUARANTINE_RECOMMENDATION","DIAGNOSTIC_DETERMINATION_ID","DIAGNOSTIC_REQUEST_ID","NUMBER_DEAD_ADULTS","NUMBER_DEAD_CYSTS","NUMBER_DEAD_EGGS","NUMBER_DEAD_IMMATURE","NUMBER_DEAD_PUPAE","NUMBER_ALIVE_ADULTS","NUMBER_ALIVE_CYSTS","NUMBER_ALIVE_EGGS","NUMBER_ALIVE_IMMATURE","NUMBER_ALIVE_PUPAE","PEST_TAXON_ID","PEST_TAXONOMY_KINGDOM","PEST_TAXONOMY_PHYLUM","PEST_TAXONOMY_CLASS","PEST_TAXONOMY_ORDER","PEST_TAXONOMY_FAMILY","PEST_TAXONOMY_GENUS","PEST_TAXONOMY_SPECIES","PEST_TAXON_SIMPLE_NAME","ID_AUTHORITY","DETERMINATION_TYPE_ID","DETERMINED_BY_GROUP_ID","DETERMINATION_DATETIME","QUARANTINE_STATUS_HAWAII","QUARANTINE_STATUS_PUERTO_RICO","QUARANTINE_STATUS_CONUS","ID","DIAGNOSTIC_DETERMINATION_NOT_POSSIBLE_REASON"
"1","2024-12-17","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","El Salvador","PIS","CA","Final ID","Tydeidae","No Phytosanitary Action",1652605,781439,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,332,"Animalia","Arthropoda","Arachnida","Trombidiformes","Tydeidae",NA,NA,"Tydeidae","Earned - Final",5887,17411,"2024-12-18 08:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"2","2024-12-17","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","El Salvador","PIS","CA","Final ID","Acaridae","No Phytosanitary Action",1652624,781440,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,111,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Acaridae",NA,NA,"Acaridae","Earned - Final",5887,17411,"2024-12-18 08:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"3","2017-10-27","Begonia sp. - Begonia","Begonia sp.","Airport - Aircraft - Cargo - CBP","Costa Rica","CBP","FL","Final ID","Sonchus sp. (Asteraceae)","No Phytosanitary Action",542361,253459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21016,"Plantae",NA,"Magnoliopsida","Asterales","Asteraceae","Sonchus",NA,"Sonchus","Earned - Final",5887,17411,"2017-10-30 00:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"4","2017-10-27","Begonia sp. - Begonia","Begonia sp.","Airport - Aircraft - Cargo - CBP","Costa Rica","CBP","FL","Final ID","Acaridae","No Phytosanitary Action",542368,253462,0,NA,NA,NA,NA,2,NA,NA,NA,NA,111,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Acaridae",NA,NA,"Acaridae","Earned - Final",5887,17411,"2017-10-30 00:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"5","2025-01-06","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","El Salvador","PIS","CA","Final ID","Mymaridae","No Phytosanitary Action",1661819,786067,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,6412,"Animalia","Arthropoda","Insecta","Hymenoptera","Mymaridae",NA,NA,"Mymaridae","Conferred - Final",5887,17411,"2025-01-06 08:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"6","2021-11-12","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Express Carrier - PIS","Hong Kong","PIS","WA","Final ID","Colletotrichum sp. (Glomerellaceae)","Phytosanitary Action",889750,410359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10815,"Fungi",NA,"Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum",NA,"Colletotrichum","Earned - Final",5887,17411,"2021-11-12 08:00:00.0000000","Quarantine","Quarantine","Quarantine",NA,NA
"7","2024-12-17","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","El Salvador","PIS","CA","Final ID","Histiostomatidae","No Phytosanitary Action",1652631,781441,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,146,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Histiostomatidae",NA,NA,"Histiostomatidae","Earned - Final",5887,17411,"2024-12-18 08:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"8","2024-12-17","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","El Salvador","PIS","CA","Final ID","Tydeidae","No Phytosanitary Action",1652639,781442,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,332,"Animalia","Arthropoda","Arachnida","Trombidiformes","Tydeidae",NA,NA,"Tydeidae","Earned - Final",5887,17411,"2024-12-18 08:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"9","2024-12-17","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","El Salvador","PIS","CA","Final ID","Acaridae","No Phytosanitary Action",1652642,781449,NA,NA,NA,NA,NA,1,NA,NA,0,NA,111,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Acaridae",NA,NA,"Acaridae","Earned - Final",5887,17411,"2024-12-18 08:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
"10","2024-12-17","Begonia sp. - Begonia sp.","Begonia sp.","Airport - Aircraft - Cargo - PIS","El Salvador","PIS","CA","Final ID","Histiostomatidae","No Phytosanitary Action",1652641,781447,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,146,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Histiostomatidae",NA,NA,"Histiostomatidae","Earned - Final",5887,17411,"2024-12-18 08:00:00.0000000","Non-Quarantine","Non-Quarantine","Non-Quarantine",NA,NA
