"INSPECTION_YEAR","PEST_TAXONOMIC_NAME","PEST_TAXON_SIMPLE_NAME","total_pests"
"2024","Oribatida","Oribatida",16
"2024","Acaridae","Acaridae",10
"2024","Histiostomatidae","Histiostomatidae",4
"2024","Mesostigmata","Mesostigmata",4
"2024","Tydeidae","Tydeidae",4
"2023","Staphylinidae","Staphylinidae",3
"2024","Other","Insecta",3
"2024","Other","Lepidoptera",3
"2024","Pseudococcidae","Pseudococcidae",3
"2017","Pseudococcidae","Pseudococcidae",2
"2019","Other","Ophiostoma",2
"2022","Other","Cryptophilus",2
"2022","Other","exigua",2
"2023","Other","Tarsonemus",2
"2024","Other","Aphididae",2
"2024","Other","Cunaxidae",2
"2024","Thripidae","Thripidae",2
"2025","Acaridae","Acaridae",2
"2025","Bacteria","Bacteria",2
"2025","Histiostomatidae","Histiostomatidae",2
"2025","Oribatida","Oribatida",2
"2025","Other","Entomobryidae",2
"2025","Other","Mymaridae",2
"2025","Other","Parasitidae",2
"2025","Other","Scatella",2
"2025","Other","Sciaridae",2
"2025","Other","Succinea",2
"2025","Other","villosa",2
"2025","Pseudococcidae","Pseudococcidae",2
"2016","Other","exigua",1
"2017","Acaridae","Acaridae",1
"2017","Other","Bemisia",1
"2017","Other","Sonchus",1
"2017","Thripidae","Thripidae",1
"2018","Bacteria","Bacteria",1
"2018","Colletotrichum sp. (Glomerellaceae)","Colletotrichum",1
"2018","Other","Diapriidae",1
"2018","Other","Muscidae",1
"2018","Other","nitidalis",1
"2018","Pseudococcidae","Pseudococcidae",1
"2019","Other","Cylindrocladiella",1
"2019","Other","Lagria",1
"2019","Other","Nematoda",1
"2019","Other","Pupisoma",1
"2019","Other","bicaudatus",1
"2019","Other","javanica",1
"2019","Other","micra",1
"2020","Oribatida","Oribatida",1
"2020","Other","Acariformes",1
"2020","Other","Coccidae",1
"2020","Other","Collembola",1
"2020","Other","Drosophila",1
"2020","Other","Pronematinae",1
"2020","Other","Psychodidae",1
"2020","Other","Pteromalidae",1
"2020","Other","Rhizoctonia",1
"2020","Other","Tenuipalpus",1
"2020","Other","Trichopria",1
"2020","Other","americanus",1
"2020","Other","dihystera",1
"2020","Other","fovealis",1
"2020","Other","umbonifera",1
"2021","Acaridae","Acaridae",1
"2021","Colletotrichum sp. (Glomerellaceae)","Colletotrichum",1
"2021","Other","Acari",1
"2021","Other","Bdellidae",1
"2021","Other","Chironomidae",1
"2021","Other","Ephydridae",1
"2021","Other","Oxalis",1
"2021","Other","Tetranychidae",1
"2021","Other","villosa",1
"2021","Pseudococcidae","Pseudococcidae",1
"2021","Thripidae","Thripidae",1
"2022","Bacteria","Bacteria",1
"2022","Other","Araneae",1
"2022","Other","Psocoptera",1
"2023","Acaridae","Acaridae",1
"2023","Bacteria","Bacteria",1
"2023","Other","Aphididae",1
"2023","Other","Chlorophyta",1
"2023","Other","Cleridae",1
"2023","Other","Collembola",1
"2023","Other","Diaspididae",1
"2023","Other","Diptera",1
"2023","Other","Scenopinidae",1
"2023","Other","fovealis",1
"2023","Other","solani",1
"2023","Pseudococcidae","Pseudococcidae",1
"2024","Colletotrichum sp. (Glomerellaceae)","Colletotrichum",1
"2024","Other","Acentropinae",1
"2024","Other","Assimineidae",1
"2024","Other","Braconidae",1
"2024","Other","Brevipalpus",1
"2024","Other","Lygaeidae",1
"2024","Other","Neuroptera",1
"2024","Other","Pteromalidae",1
"2024","Other","Sciaridae",1
"2024","Other","Succinea",1
"2025","Colletotrichum sp. (Glomerellaceae)","Colletotrichum",1
"2025","Other","Aclista",1
"2025","Other","Aphanogmus",1
"2025","Other","Collembola",1
"2025","Other","Diaspididae",1
"2025","Other","Eriophyidae",1
"2025","Other","Lasiodiplodia",1
"2025","Other","Macrocheles",1
"2025","Other","Oxalis",1
"2025","Other","Psocoptera",1
"2025","Other","Tarsonemus",1
"2025","Other","Tetranychus",1
"2025","Other","arboreus",1
"2025","Other","coffeicola",1
"2025","Other","lunata",1
"2025","Other","obscurus",1
"2025","Other","occidentalis",1
"2025","Other","orchidearum",1
"2025","Other","signipennis",1
"2025","Staphylinidae","Staphylinidae",1
