"INSPECTION_YEAR","ORIGIN","total_pests"
"2024","Indonesia",32
"2024","Netherlands",13
"2024","El Salvador",12
"2020","Indonesia",9
"2025","El Salvador",9
"2023","Netherlands",6
"2025","Thailand",6
"2019","Thailand",5
"2022","El Salvador",5
"2025","Germany",5
"2025","Philippines",5
"2025","Portugal",5
"2025","Indonesia",4
"2017","Other",3
"2019","Other",3
"2021","Netherlands",3
"2023","Philippines",3
"2024","Germany",3
"2025","Dominican Republic",3
"2025","Uganda",3
"2018","Germany",2
"2018","Netherlands",2
"2018","Thailand",2
"2020","Brazil",2
"2021","Other",2
"2021","Uganda",2
"2023","Indonesia",2
"2023","Other",2
"2023","Portugal",2
"2024","Other",2
"2025","Netherlands",2
"2025","Other",2
"2016","Thailand",1
"2017","Brazil",1
"2017","Germany",1
"2017","Netherlands",1
"2019","Brazil",1
"2020","Germany",1
"2020","Netherlands",1
"2020","Other",1
"2020","Thailand",1
"2021","Brazil",1
"2021","Dominican Republic",1
"2021","El Salvador",1
"2021","Portugal",1
"2022","Germany",1
"2022","Indonesia",1
"2023","Thailand",1
"2023","Uganda",1
"2024","Dominican Republic",1
