"COMMODITY_DISPLAY_NAME","COMMODITY_TAXONOMIC_DISPLAY_NAME","INSPECTION_PATHWAY","total_pests"
"Apium graveolens var. dulce  - CELERY","Apium graveolens var. dulce ","Land Border - Truck - Cargo - CBP",1006
"Ocimum basilicum (Lamiaceae) - Ocimum basilicum ","Ocimum basilicum (Lamiaceae)","Airport - Aircraft - Cargo - CBP",328
"Brassica rapa subsp. pekinensis (Brassicaceae) - CHINESE CABBAGE","Brassica rapa subsp. pekinensis (Brassicaceae)","Land Border - Truck - Cargo - CBP",275
"Zea mays - CORN","Zea mays","Land Border - Truck - Cargo - CBP",245
NA,NA,"Airport - Aircraft - Cargo - CBP",237
"Mentha sp. - MINT","Mentha sp.","Airport - Aircraft - Cargo - CBP",224
"Thymus vulgaris - THYME","Thymus vulgaris","Airport - Aircraft - Cargo - CBP",171
"Dianthus sp. - Dianthus","Dianthus sp.","Land Border - Truck - Cargo - CBP",156
"Brassica rapa subsp. chinensis (Brassicaceae) - Brassica rapa chinensis","Brassica rapa subsp. chinensis (Brassicaceae)","Land Border - Truck - Cargo - CBP",142
"Other","Chrysanthemum sp. ","Airport - Aircraft - Cargo - CBP",134
"Other","Lactuca sativa var. longifolia ","Land Border - Truck - Cargo - CBP",133
NA,NA,"Maritime Port - Vessel - Cargo - CBP",128
"Other","Brassica oleracea var. viridis ","Land Border - Truck - Cargo - CBP",117
"Other","Antirrhinum sp.","Land Border - Truck - Cargo - CBP",114
NA,NA,"Land Border - Truck - Cargo - CBP",109
"Capsicum sp. - Chili Pepper","Capsicum sp.","Land Border - Truck - Cargo - CBP",100
"Tagetes sp.  - Tagetes","Tagetes sp. ","Airport - Aircraft - Cargo - CBP",99
"Other","Pisum sativum var. macrocarpon ","Land Border - Truck - Cargo - CBP",86
"Other","Lactuca sativa (Asteraceae)","Land Border - Truck - Cargo - CBP",83
"Other","Limonium sp.","Land Border - Truck - Cargo - CBP",80
"Other","Allium schoenoprasum","Airport - Aircraft - Cargo - CBP",75
"Ocimum basilicum (Lamiaceae) - Ocimum basilicum ","Ocimum basilicum (Lamiaceae)","Land Border - Truck - Cargo - CBP",73
"Other","Coriandrum sativum (Apiaceae)","Land Border - Truck - Cargo - CBP",70
"Other","Gladiolus sp.","Land Border - Truck - Cargo - CBP",64
"Other","Abelmoschus esculentus","Airport - Aircraft - Cargo - CBP",62
"Other","Rosa sp.","Land Border - Truck - Cargo - CBP",61
"Other","Spinacia oleracea","Land Border - Truck - Cargo - CBP",61
"Other","Anemone sp.","Airport - Aircraft - Cargo - CBP",60
